x,y
0.0532083,-5.210199
0.37376294,-5.5322785
2.320619,-5.1769705
0.46469867,0.86223185
-1.9482957,-1.7482986
5.287146,5.970069
-0.03574166,5.5095096
2.391128,-1.6222378
5.4084167,1.1300831
1.5593338,5.5462623
-3.692224,2.1458855
3.3967054,7.362959
-2.340754,0.41161603
-0.8731342,-1.1817521
5.112532,-4.498935
3.376311,-2.9391303
-5.9289255,-0.25702855
-4.7607956,3.3397381
-2.2933292,0.88559675
-4.714097,2.6370432
-3.3072214,-5.169494
4.4865937,-4.8887825
1.9538093,6.9652944
-0.95172584,3.5919914
-3.5337813,-1.48062
-1.910826,-3.3282921
4.135015,-3.805208
2.2873673,-6.364117
-1.834952,7.3783884
-2.2066634,-6.6997714
0.24073209,-4.2189274
0.5796893,-6.830983
0.96323496,1.2971258
-1.6432157,-2.71358
-6.2801485,-1.9036337
0.68915355,6.652677
0.27998778,-0.71628404
-3.9993567,0.7452197
0.39161834,5.302051
-4.466327,-1.5863558
4.1491957,-2.1070054
-3.4898121,-4.4461083
1.9196932,-2.0234718
-5.3041496,-4.1768394
0.8927811,-3.8808455
-3.43121,-1.4108889
0.23189175,-2.4944353
4.73436,4.5903435
2.4963398,-4.8459225
1.9027693,6.591622
-3.615763,-1.2334356
-4.6421413,-1.1678315
3.6997268,5.9074745
0.4156927,-7.054956
-4.6086264,-0.87844986
-2.657828,5.284444
2.3025522,7.28768
-1.2533935,4.0662065
-6.9041715,-2.4652793
0.5251419,-2.340234
4.3125744,4.700264
3.5853796,-4.418066
-5.1164894,-5.1832085
-2.5044637,7.5678678
-1.3563701,7.9653387
3.2483625,-1.8618973
0.57914466,-4.702078
-5.430753,-3.7933264
1.413408,5.349101
-0.75312287,-6.3352633
3.2512698,6.345159
0.8248932,-0.0005396106
-3.0869265,1.4704013
-1.4743971,3.8177998
1.8076934,-2.6120512
-2.7053497,5.725395
0.24371801,-2.512232
-4.509039,1.0025607
-1.8638477,-1.0456169
-3.1403668,0.6486522
-4.1956325,1.7298312
2.758658,3.1950178
-0.4684166,-2.5189598
3.1761675,-1.2457992
5.257786,4.8186274
3.838723,1.0594683
-3.7804348,1.8860298
4.1487603,-6.6079516
3.3941088,6.1147256
0.4788674,-5.6563835
1.850853,5.6657715
1.7110199,6.6090136
-2.6482742,-6.159247
-2.2057045,7.5821967
-0.9990382,6.373196
-5.165471,-3.767683
0.07870376,-4.823512
3.708993,-4.017086
3.0298707,-0.15851736
-6.3912015,-4.611701
-3.8841386,2.8966103
0.005656447,-5.542835
-0.083879486,6.52938
-4.6186748,-2.9136515
-0.013211563,-1.9085586
-2.3775952,1.2334163
-3.9250178,1.5526744
-0.8629501,3.362322
-0.35987946,-6.936266
-0.14769427,-6.5049644
-1.282488,-5.9920893
-1.8780376,4.108299
1.3601873,2.8192298
-4.4742837,-1.319348
-0.94444233,0.41086212
-2.4488428,7.9495244
-1.2781098,-4.199734
4.0174203,4.3863153
3.1184237,-5.1763134
3.8163157,-1.8141311
-2.5995636,0.28823605
0.08265471,3.1107395
-1.0056988,6.5389333
-2.1729743,-5.168369
0.25239763,5.5092645
5.0105305,-4.42239
-4.668829,2.5908523
-4.2659926,-0.38734105
-2.5341365,1.3939937
